item1,item2,count
whole milk,other vegetables,736
rolls/buns,whole milk,557
yogurt,whole milk,551
whole milk,root vegetables,481
other vegetables,root vegetables,466
yogurt,other vegetables,427
rolls/buns,other vegetables,419
whole milk,tropical fruit,416
soda,whole milk,394
soda,rolls/buns,377
other vegetables,tropical fruit,353
bottled water,whole milk,338
rolls/buns,yogurt,338
pastry,whole milk,327
soda,other vegetables,322
whipped/sour cream,whole milk,317
rolls/buns,sausage,301
whole milk,citrus fruit,300
whole milk,pip fruit,296
domestic eggs,whole milk,295
whole milk,sausage,294
yogurt,tropical fruit,288
soda,bottled water,285
whipped/sour cream,other vegetables,284
other vegetables,citrus fruit,284
butter,whole milk,271
soda,yogurt,269
newspapers,whole milk,269
other vegetables,sausage,265
fruit/vegetable juice,whole milk,262
curd,whole milk,257
other vegetables,pip fruit,257
yogurt,root vegetables,254
brown bread,whole milk,248
bottled water,other vegetables,244
rolls/buns,tropical fruit,242
shopping bags,soda,242
shopping bags,whole milk,241
rolls/buns,root vegetables,239
soda,sausage,239
bottled water,rolls/buns,238
margarine,whole milk,238
shopping bags,other vegetables,228
bottled water,yogurt,226
pastry,other vegetables,222
domestic eggs,other vegetables,219
whole milk,pork,218
yogurt,citrus fruit,213
other vegetables,pork,213
whole milk,beef,209
root vegetables,tropical fruit,207
soda,pastry,207
fruit/vegetable juice,other vegetables,207
pastry,rolls/buns,206
soda,tropical fruit,205
whipped/sour cream,yogurt,204
whole milk,frankfurter,202
frozen vegetables,whole milk,201
pip fruit,tropical fruit,201
bottled beer,whole milk,201
butter,other vegetables,197
tropical fruit,citrus fruit,196
newspapers,rolls/buns,194
margarine,other vegetables,194
napkins,whole milk,194
other vegetables,beef,194
yogurt,sausage,193
shopping bags,rolls/buns,192
newspapers,other vegetables,190
rolls/buns,frankfurter,189
coffee,whole milk,184
brown bread,other vegetables,184
fruit/vegetable juice,yogurt,184
soda,root vegetables,183
bottled water,tropical fruit,182
fruit/vegetable juice,soda,181
yogurt,pip fruit,177
other vegetables,chicken,176
frozen vegetables,other vegetables,175
pastry,yogurt,174
root vegetables,citrus fruit,174
whole milk,chicken,173
root vegetables,beef,171
yogurt,curd,170
curd,other vegetables,169
whipped/sour cream,root vegetables,168
white bread,whole milk,168
bottled beer,soda,167
rolls/buns,citrus fruit,165
chocolate,whole milk,164
other vegetables,frankfurter,162
cream cheese,whole milk,162
bottled beer,other vegetables,159
bottled beer,bottled water,155
shopping bags,sausage,154
bottled water,root vegetables,154
rolls/buns,domestic eggs,154
root vegetables,pip fruit,153
newspapers,yogurt,151
shopping bags,yogurt,150
sugar,whole milk,148
root vegetables,sausage,147
margarine,rolls/buns,145
whole milk,hamburger meat,145
yogurt,butter,144
newspapers,soda,144
rolls/buns,whipped/sour cream,144
brown bread,yogurt,143
fruit/vegetable juice,rolls/buns,143
napkins,other vegetables,142
domestic eggs,root vegetables,141
domestic eggs,yogurt,141
fruit/vegetable juice,bottled water,140
other vegetables,onions,140
margarine,yogurt,140
rolls/buns,pip fruit,137
tropical fruit,sausage,137
canned beer,soda,136
other vegetables,hamburger meat,136
pip fruit,citrus fruit,136
whipped/sour cream,tropical fruit,136
white bread,other vegetables,135
dessert,whole milk,135
fruit/vegetable juice,tropical fruit,135
cream cheese,other vegetables,135
bottled beer,rolls/buns,134
rolls/buns,beef,134
root vegetables,pork,134
long life bakery product,whole milk,133
bottled water,citrus fruit,133
chocolate,soda,133
shopping bags,tropical fruit,133
rolls/buns,butter,132
coffee,other vegetables,132
soda,pip fruit,131
pastry,tropical fruit,130
butter,root vegetables,127
hygiene articles,whole milk,126
shopping bags,root vegetables,126
soda,citrus fruit,126
chocolate,other vegetables,125
waffles,whole milk,125
soda,brown bread,124
brown bread,rolls/buns,124
pastry,sausage,123
cream cheese,yogurt,122
soda,domestic eggs,122
frozen vegetables,yogurt,122
napkins,yogurt,121
whole milk,onions,119
fruit/vegetable juice,root vegetables,118
napkins,soda,118
bottled water,sausage,118
soda,pork,117
shopping bags,pastry,117
newspapers,tropical fruit,116
chocolate,rolls/buns,116
whole milk,berries,116
napkins,rolls/buns,115
yogurt,beef,115
soda,whipped/sour cream,114
dessert,other vegetables,114
butter milk,whole milk,114
frozen vegetables,root vegetables,114
whole milk,ham,113
newspapers,root vegetables,113
shopping bags,canned beer,112
domestic eggs,tropical fruit,112
soda,frankfurter,111
canned beer,rolls/buns,111
newspapers,bottled water,111
oil,whole milk,111
rolls/buns,pork,111
citrus fruit,sausage,111
salty snack,whole milk,110
yogurt,frankfurter,110
margarine,root vegetables,109
pastry,root vegetables,108
shopping bags,bottled water,108
coffee,rolls/buns,108
curd,root vegetables,107
whipped/sour cream,citrus fruit,107
root vegetables,chicken,107
salty snack,other vegetables,106
sugar,other vegetables,106
pip fruit,sausage,106
sliced cheese,whole milk,106
long life bakery product,other vegetables,105
shopping bags,fruit/vegetable juice,105
brown bread,tropical fruit,105
brown bread,sausage,105
pastry,pip fruit,105
yogurt,berries,104
bottled water,pip fruit,104
whipped/sour cream,curd,103
domestic eggs,citrus fruit,102
fruit/vegetable juice,citrus fruit,102
butter milk,other vegetables,102
curd,tropical fruit,101
other vegetables,berries,101
bottled water,margarine,101
soda,white bread,101
brown bread,root vegetables,100
whipped/sour cream,butter,100
rolls/buns,frozen vegetables,100
root vegetables,frankfurter,100
soda,margarine,100
waffles,other vegetables,99
rolls/buns,curd,99
fruit/vegetable juice,sausage,99
sausage,frankfurter,99
hard cheese,whole milk,99
napkins,tropical fruit,99
butter,tropical fruit,98
soda,coffee,98
rolls/buns,cream cheese,98
oil,other vegetables,98
domestic eggs,whipped/sour cream,98
other vegetables,meat,98
whole milk,meat,98
napkins,root vegetables,98
yogurt,dessert,97
soda,dessert,97
frozen meals,whole milk,97
coffee,yogurt,96
pastry,citrus fruit,96
shopping bags,citrus fruit,96
pastry,brown bread,95
bottled beer,root vegetables,95
domestic eggs,butter,95
rolls/buns,chicken,95
hygiene articles,other vegetables,94
waffles,soda,94
domestic eggs,sausage,94
fruit/vegetable juice,pip fruit,94
yogurt,pork,94
hard cheese,other vegetables,93
tropical fruit,frankfurter,93
onions,root vegetables,93
margarine,tropical fruit,92
shopping bags,coffee,92
salty snack,soda,92
shopping bags,pip fruit,92
shopping bags,brown bread,91
bottled beer,yogurt,91
baking powder,whole milk,91
whipped/sour cream,pip fruit,91
chocolate,yogurt,91
butter,citrus fruit,90
waffles,rolls/buns,90
other vegetables,ham,90
bottled water,domestic eggs,90
whipped/sour cream,berries,89
pastry,domestic eggs,89
other vegetables,grapes,89
canned beer,other vegetables,89
sliced cheese,other vegetables,89
white bread,yogurt,89
fruit/vegetable juice,whipped/sour cream,89
whipped/sour cream,sausage,89
shopping bags,domestic eggs,89
bottled water,butter,88
bottled water,pastry,88
detergent,whole milk,88
soda,butter,87
canned beer,whole milk,87
cat food,whole milk,87
white bread,tropical fruit,86
bottled water,whipped/sour cream,86
long life bakery product,yogurt,86
frozen vegetables,tropical fruit,86
rolls/buns,hamburger meat,85
napkins,bottled water,85
candy,soda,85
soda,frozen vegetables,85
domestic eggs,pip fruit,85
butter,sausage,85
yogurt,butter milk,84
margarine,pip fruit,84
fruit/vegetable juice,pastry,84
tropical fruit,pork,84
flour,whole milk,83
citrus fruit,beef,83
newspapers,pastry,83
fruit/vegetable juice,brown bread,82
newspapers,citrus fruit,82
margarine,domestic eggs,82
brown bread,citrus fruit,82
yogurt,chicken,82
soda,chicken,82
pastry,frankfurter,82
newspapers,fruit/vegetable juice,81
whipped/sour cream,pork,81
candy,whole milk,81
bottled beer,tropical fruit,81
shopping bags,frankfurter,81
bottled water,brown bread,81
UHT-milk,other vegetables,80
chocolate,tropical fruit,80
shopping bags,chocolate,80
soda,curd,80
soda,beef,80
fruit/vegetable juice,butter,79
canned beer,bottled water,79
newspapers,sausage,79
fruit/vegetable juice,domestic eggs,79
specialty chocolate,whole milk,79
sliced cheese,yogurt,79
chocolate,pastry,79
margarine,citrus fruit,78
long life bakery product,rolls/buns,78
white bread,root vegetables,78
shopping bags,whipped/sour cream,78
frozen vegetables,whipped/sour cream,78
fruit/vegetable juice,frozen vegetables,77
bottled beer,sausage,77
curd,pip fruit,77
other vegetables,herbs,76
whole milk,herbs,76
newspapers,brown bread,75
rolls/buns,butter milk,75
curd,sausage,75
rolls/buns,sliced cheese,75
beef,pork,75
soda,UHT-milk,75
napkins,citrus fruit,75
brown bread,pip fruit,75
tropical fruit,beef,75
pastry,butter,75
long life bakery product,soda,75
waffles,yogurt,74
pastry,curd,74
soft cheese,whole milk,74
cream cheese,root vegetables,74
frozen meals,other vegetables,74
pastry,whipped/sour cream,74
fruit/vegetable juice,white bread,73
shopping bags,white bread,73
bottled water,pork,73
UHT-milk,yogurt,73
soda,berries,72
coffee,root vegetables,72
soda,sugar,72
bottled water,UHT-milk,72
whole milk,grapes,72
baking powder,other vegetables,72
misc. beverages,soda,72
bottled water,frankfurter,72
frozen vegetables,pip fruit,72
butter,pip fruit,72
hygiene articles,yogurt,72
bottled water,coffee,72
cream cheese,tropical fruit,71
specialty bar,soda,71
yogurt,onions,71
shopping bags,napkins,71
pip fruit,frankfurter,71
white bread,sausage,71
napkins,whipped/sour cream,71
whipped/sour cream,chicken,71
newspapers,whipped/sour cream,71
coffee,tropical fruit,70
curd,citrus fruit,70
candy,rolls/buns,70
pickled vegetables,whole milk,70
brown bread,frankfurter,70
newspapers,margarine,70
margarine,sausage,70
soft cheese,other vegetables,70
semi-finished bread,whole milk,70
waffles,pastry,69
processed cheese,whole milk,69
sugar,rolls/buns,69
domestic eggs,frankfurter,69
bottled beer,fruit/vegetable juice,69
oil,root vegetables,69
sliced cheese,sausage,69
misc. beverages,whole milk,69
hygiene articles,soda,69
herbs,root vegetables,69
napkins,pastry,69
candy,other vegetables,68
shopping bags,newspapers,68
sugar,yogurt,68
coffee,pastry,68
rolls/buns,ham,68
newspapers,domestic eggs,68
citrus fruit,chicken,68
coffee,sausage,68
napkins,fruit/vegetable juice,68
rolls/buns,meat,68
potted plants,whole milk,68
coffee,pip fruit,68
curd,butter,67
beverages,whole milk,67
brown bread,domestic eggs,67
soda,cream cheese,67
rolls/buns,onions,67
rolls/buns,dessert,67
margarine,pastry,67
margarine,whipped/sour cream,67
chocolate,fruit/vegetable juice,67
whipped/sour cream,beef,66
berries,tropical fruit,66
margarine,butter,66
napkins,sausage,66
hygiene articles,tropical fruit,66
yogurt,ham,66
napkins,pip fruit,66
newspapers,pip fruit,66
frozen vegetables,chicken,66
waffles,root vegetables,65
chocolate,sausage,65
rolls/buns,berries,65
root vegetables,berries,65
white bread,pip fruit,65
frozen vegetables,citrus fruit,65
newspapers,pork,65
domestic eggs,curd,64
margarine,brown bread,64
citrus fruit,frankfurter,64
citrus fruit,pork,64
pork,sausage,64
specialty bar,whole milk,64
yogurt,hamburger meat,64
cat food,other vegetables,64
white bread,rolls/buns,64
rolls/buns,UHT-milk,63
tropical fruit,chicken,63
sugar,root vegetables,63
detergent,other vegetables,63
coffee,citrus fruit,63
chocolate,citrus fruit,63
pickled vegetables,other vegetables,63
margarine,frankfurter,63
cream cheese,whipped/sour cream,63
margarine,pork,63
shopping bags,pork,63
newspapers,beef,63
frozen vegetables,pork,63
hard cheese,yogurt,63
chocolate,root vegetables,63
flour,other vegetables,62
canned beer,sausage,62
margarine,curd,62
pastry,pork,62
pastry,beef,62
specialty chocolate,soda,62
long life bakery product,tropical fruit,62
dessert,tropical fruit,62
fruit/vegetable juice,margarine,61
root vegetables,hamburger meat,61
bottled water,frozen vegetables,61
shopping bags,dessert,61
whipped/sour cream,frankfurter,61
frozen meals,yogurt,61
margarine,beef,61
bottled water,beef,61
newspapers,napkins,61
long life bakery product,fruit/vegetable juice,61
soda,frozen meals,61
salty snack,yogurt,61
domestic eggs,chicken,61
chocolate,butter,61
cat food,yogurt,61
cream cheese,pip fruit,60
bottled water,curd,60
waffles,tropical fruit,60
napkins,hygiene articles,60
chocolate,pip fruit,60
coffee,whipped/sour cream,60
pip fruit,pork,60
pasta,whole milk,60
specialty chocolate,other vegetables,60
bottled beer,margarine,60
grapes,tropical fruit,60
bottled beer,citrus fruit,60
soda,ice cream,60
salty snack,fruit/vegetable juice,59
fruit/vegetable juice,coffee,59
dishes,other vegetables,59
soft cheese,yogurt,59
shopping bags,salty snack,59
napkins,domestic eggs,59
